Epoch,Train Loss (MSE),Validation Loss (MSE),Train MAE,Validation MAE
0,0.04500382889499827,0.04027262685698122,0.21214105895605942,0.2006804097488871
1,0.033790770406377305,0.027459914186946998,0.18382266020917362,0.16571033216714942
2,0.02948633483184586,0.027149115774391098,0.17171585492273525,0.16476988734107667
3,0.02687876265595954,0.02695866961593875,0.1639474386989914,0.16419095473240525
4,0.024677472463037878,0.023293932219217706,0.15709065046347565,0.15262349825376728
5,0.023173553281559314,0.022500220779243383,0.15222862175543506,0.15000073592900598
6,0.02238418414816605,0.02241325161999624,0.14961344908852964,0.14971055948060658
7,0.021271289287481343,0.025555111695284318,0.1458468007447587,0.15985966250209688
8,0.019663550318059383,0.023218629897247302,0.14022678174321546,0.15237660547881784
9,0.019093900147022527,0.020338734565345806,0.13818067935504777,0.14261393538271708
10,0.017831802580963948,0.019893830457735018,0.13353577266397176,0.14104549073875072
11,0.01704782362817119,0.0240452262149929,0.1305673145475972,0.15506523212826562
12,0.016513515553272618,0.020055872880122266,0.12850492423744944,0.14161875892734785
13,0.015812633497077046,0.021496704628796184,0.1257482942114009,0.14661754543299443
14,0.014713887841191754,0.01969865156091219,0.12130081550093451,0.14035188477862415
15,0.014179940005483505,0.019828493842143465,0.11907955326370478,0.1408136848539355
16,0.013465273692845526,0.019753978235317975,0.11603996592918117,0.1405488464389444
17,0.01299413740652149,0.019145711760185695,0.11399183043763043,0.13836803012323942
18,0.012525514985549295,0.020678704930167855,0.1119174471901021,0.14380092117287654
19,0.012040968496734958,0.01941793950259079,0.10973134691935098,0.13934826695223299
20,0.011755937071143202,0.019212453399511754,0.10842479915196154,0.13860899465587273
21,0.011188239714683867,0.019110573099014608,0.10577447572398488,0.1382409964482845
22,0.010680654939095197,0.01859254434801273,0.10334725414395488,0.136354480483821
23,0.01043066357940463,0.02006967491181662,0.10213062018515617,0.1416674800785862
24,0.010079872224972714,0.019663744067616423,0.10039856684720512,0.14022747258514084
25,0.009947368015330992,0.01864533883129194,0.09973649289668747,0.13654793601988988
26,0.009370344265378756,0.018665971908163517,0.09680053855934251,0.13662346763335909
27,0.009252919831849931,0.01902942584136589,0.09619209859364714,0.13794718497079195
28,0.00901722410223365,0.019424998807091056,0.09495906540311803,0.13937359436812646
29,0.00878396019284423,0.018996995386980287,0.09372278374463826,0.1378295882130549
30,0.008639836686453977,0.019227660634140522,0.09295072181782117,0.1386638403987879
31,0.008578198051267923,0.01875885582212824,0.0926185621312916,0.13696297244922892
32,0.008585106758926335,0.018810054709468033,0.09265585118559073,0.13714975285966807
33,0.008307783912684661,0.0189270838943485,0.09114704555104713,0.1375757387563247
34,0.008016044100803374,0.019164734684571857,0.08953236342688255,0.13843675337341546
35,0.007986021480565266,0.018491574893055085,0.08936454263613318,0.1359837302512881
36,0.007753889154811682,0.01895672424759278,0.08805617045279497,0.13768342038020692
37,0.007505947540477125,0.018931129194320516,0.08663687171451381,0.137590440054244
38,0.007349903352393198,0.018495316766236912,0.08573157733526893,0.1359974880879677
39,0.0073770982076333804,0.01844268669197672,0.08589003555496633,0.13580385374493875
40,0.007097060230425339,0.018935635492936205,0.08424405160262259,0.13760681484917892
41,0.007086286991989718,0.018715284316766934,0.0841800866713127,0.13680381689399948
42,0.006935714383908546,0.01880751048437872,0.08328093649754754,0.13714047719174205
43,0.006944370011486299,0.019039610805718796,0.08333288673438775,0.13798409620575408
44,0.006735236469266814,0.018841133596828753,0.08206848645653711,0.13726300884371126
45,0.006807967018901227,0.018374569610684805,0.0825104055189479,0.13555282959305867
46,0.006589708778280058,0.01821912202043295,0.08117702124542424,0.13497822794966954
47,0.006391159901490209,0.01862454599081422,0.07994473029218505,0.13647177726846757
48,0.006462559932765313,0.01825030459561467,0.08039004871727166,0.13509368821530734
49,0.0062129706924886315,0.018310918246122777,0.07882239968745326,0.1353178415661541
50,0.0061917097349095465,0.01869770353806449,0.07868741789453729,0.1367395463575351
51,0.006261731710743287,0.01858066072020676,0.07913110457173769,0.13631089729074033
52,0.006141468954499153,0.019146656364230068,0.07836752487158921,0.1383714434564808
53,0.006155395005880463,0.018116150502801274,0.07845632546761581,0.13459624995816663
54,0.00587985044557198,0.018381158942761627,0.07668018287388197,0.13557713281656913
55,0.006176033814995103,0.02008739505290544,0.07858774595950123,0.14173000759509413
56,0.005980881898526954,0.01881251647503259,0.07733616164852607,0.13715872730173823
57,0.005806489123047005,0.017955933631183262,0.07620032232902302,0.13399975235493258
58,0.005882780625037745,0.019543665300134593,0.07669928699171685,0.13979865986530268
59,0.005737962543699032,0.01801920044653731,0.07574934021956252,0.13423561541758322
60,0.005586765715154534,0.018593400041335827,0.07474467014546612,0.1363576182005825
61,0.0055655266488251805,0.018453124755516193,0.07460245739132981,0.13584227896909046
62,0.005630236309001034,0.018369904099847296,0.07503490060632476,0.13553561930299834
63,0.0055336110560080445,0.018062404206127727,0.07438824541557654,0.13439644417218682
64,0.005418876227797815,0.018240193971652437,0.07361301670083774,0.13505626224523037
65,0.0054684057456995195,0.017896601949214493,0.07394866966821999,0.13377818188783436
66,0.005332186721630608,0.01799361119658499,0.07302182359836412,0.13414026687234892
67,0.005316811245000274,0.018255480826176725,0.07291646758449201,0.1351128447860407
68,0.005354801292387315,0.01783485887063862,0.07317650779032377,0.1335472158850143
69,0.005370337756438514,0.0180022999520218,0.07328258835793475,0.13417264979131105
70,0.005205677303586372,0.017929907271312853,0.07215037978823377,0.13390260367637685
71,0.005181802763663074,0.018248640393681487,0.0719847397971478,0.13508752863858856
72,0.005143454335423171,0.018005523675575397,0.07171788016543135,0.13418466259440903
73,0.005117954283945821,0.017715480292317606,0.07153987897631517,0.13309951274260026
74,0.004940327807871503,0.01825585349305265,0.07028746551037036,0.13511422387392324
75,0.005162421977069922,0.01855524745834414,0.07184999636095969,0.13621764738221015
76,0.004855226259678602,0.01803984918272352,0.06967945364078712,0.1343125056825444
77,0.004731572971478532,0.017962948990353382,0.06878643014053376,0.13402592656032408
78,0.0049346406374619475,0.017963523780935676,0.07024699735548806,0.1340280708692611
79,0.004890457371630595,0.017984021382680324,0.06993180515066513,0.1341045166378833
80,0.004796812156599556,0.01851424625855039,0.06925902220360576,0.13606706529704532
81,0.0048178300764635685,0.017713610038064785,0.06941059052092532,0.13309248678293145
82,0.004730127370165907,0.017584640005470754,0.0687759214417801,0.1326070888205859
83,0.004648470937961042,0.017806629054972024,0.06817969593626128,0.1334414817625015
84,0.004695331070410169,0.01783514106913257,0.06852248587442059,0.13354827243035594
85,0.004602625534010777,0.018129610097264933,0.06784265276366172,0.13464624056120145
86,0.00469463376869395,0.017628057784884202,0.06851739756218088,0.1327706962581887
87,0.004782020898361817,0.01793618516774226,0.06915215758283914,0.13392604365000207
88,0.004727517545850436,0.017992088603929278,0.06875694543717337,0.1341345913772032
89,0.00450526655821352,0.01818471614902048,0.06712128245358188,0.13485071801447882
90,0.004525439130964239,0.017912439388549514,0.06727138419093395,0.13383736170647387
91,0.004465532036813512,0.018089074417466263,0.06682463645103887,0.13449562973370646
92,0.004382057230020154,0.01834160909676971,0.06619710892493837,0.13543119691108732
93,0.004513758951048543,0.017879362077651256,0.0671845142205296,0.13371373182157192
94,0.004439314324615539,0.01778809910951997,0.06662817965857644,0.13337203271120962
95,0.004374115455165078,0.017734181525308042,0.06613709590815943,0.1331697470347828
96,0.004428838878080842,0.018269670935938693,0.06654952199738809,0.13516534665341814
97,0.004278706372469994,0.01779297053483104,0.06541182135111355,0.13339029400533997
98,0.004269792827554427,0.01793691234716544,0.06534365177700452,0.13392875847690608
99,0.004337660293719429,0.01777510291222176,0.06586091628363083,0.1333233022101604
100,0.004326135658889072,0.017813939239336978,0.06577336587775535,0.13346886992605048
101,0.004186249956674702,0.01767084486334551,0.06470123612941797,0.13293173008482778
102,0.0042716659214364835,0.017535674569234046,0.06535798284399912,0.13242233410280174
103,0.0042292232613124914,0.018631073719478117,0.06503247851122154,0.13649569121213356
104,0.004261851997806533,0.01765378233076355,0.06528286144009417,0.1328675367829311
105,0.004193707504960175,0.017648953375829578,0.06475884113354852,0.13284936347544002
106,0.0041913186332639945,0.01752839632380571,0.06474039413892994,0.13239485006527146
107,0.0041204086745245715,0.01759622704365207,0.06419040952139635,0.13265077098777855
108,0.004108255279787181,0.017430767375600217,0.06409567286320646,0.13202563150994664
109,0.004238003531038403,0.017541278481042352,0.06509995031517615,0.13244349165226033
110,0.004117725336894903,0.017453798850193606,0.06416950472689424,0.13211282621378442
111,0.00401634042677672,0.017553762166616985,0.06337460395755322,0.13249061161688772
112,0.0041040654641392605,0.017370698658213585,0.064062980450017,0.13179794633534161
113,0.004009751546576578,0.017460016025424997,0.06332259901943837,0.1321363539130129
114,0.0040120092361896655,0.017683525462044707,0.0633404233976192,0.13297941743760464
115,0.0040016722728418155,0.017761560127649123,0.06325877229951445,0.13327250326923826
116,0.004028749270976334,0.018563652678180026,0.06347242921912107,0.13624849605841535
117,0.0039056486245089665,0.01734017726175218,0.06249518881089141,0.13168210683973802
118,0.0038047416594868505,0.017748707386765847,0.06168258797656637,0.13322427476539644
119,0.003822467208018907,0.01742424127352006,0.06182610458389649,0.13200091391168495
120,0.0038434540293766158,0.017458225749467503,0.06199559685474942,0.13212957938882383
121,0.003890202312655299,0.017564982106903985,0.06237148637522837,0.13253294725050063
122,0.00377978991146762,0.01754581458198043,0.06147999602689984,0.13246061521063696
123,0.0037347584580321976,0.01717829090869614,0.0611126701922948,0.13106597921923194
124,0.0038704967421757798,0.017987975814516735,0.06221331643768704,0.1341192596703275
125,0.0037570053049872363,0.017373597974803687,0.06129441495754109,0.13180894497265233
126,0.0037272491308823433,0.017659245322524785,0.06105120089631606,0.13288809323082632
127,0.0037331346290618538,0.017900970856642745,0.06109938321343231,0.13379450981502472
128,0.00371594386042598,0.01781866887617067,0.060958542144854314,0.13348658687737383
129,0.0037096778334055535,0.017276364052108212,0.060907124652256846,0.13143958327729213
130,0.0037094596424463114,0.017437573746329208,0.060905333448281126,0.13205140569615004
131,0.00372622867444811,0.01736530190149355,0.06104284294205267,0.13177747114546381
132,0.003625986919713368,0.01792444123315326,0.06021616825831222,0.13388219162066797
133,0.0037747786503550523,0.017283732848626172,0.06143922729295228,0.1314676114053426
134,0.003748505978063645,0.017607034810376763,0.06122504371630652,0.13269150240455024
135,0.0036937106283559057,0.017599766448512327,0.06077590499824668,0.13266411138100737
136,0.0035550715772230024,0.017535947297702335,0.059624420980190676,0.13242336386643536
137,0.003644061500118713,0.017497097406532894,0.06036606248645602,0.13227659432618039
138,0.003681162774569728,0.017336967874190853,0.06067258668105167,0.13166992015715226
139,0.003540780622284656,0.017526337992362022,0.05950445884372579,0.13238707637969055
140,0.0034938443427996765,0.01723875401750083,0.05910875013735002,0.1312964356618291
141,0.0035487544161993856,0.017231835357355476,0.05957142281496545,0.13127008553876804
142,0.003566185914490038,0.01744737144590637,0.05971755114277576,0.13208849853755766
143,0.0035956501529985398,0.01735220791618654,0.05996374031861705,0.13172777959180265
144,0.0035250412578505847,0.01746040375887741,0.0593720578879542,0.13213782107662217
145,0.003650954981385338,0.017397475948386674,0.06042313283325632,0.1318994918427917
146,0.0034995800100446135,0.01730095212598513,0.05915724816152805,0.13153308376976924
147,0.003501757552500928,0.01749918807666683,0.059175649996437964,0.13228449673588674
148,0.0036155331455977506,0.017285805529846734,0.0601293035515775,0.1314754940277721
149,0.0035527689269572414,0.017613753759122136,0.059605108228718465,0.13271681792117432
150,0.003504490552196119,0.017481773071659594,0.05919873775847015,0.13221865629199078
151,0.0033790960728736193,0.01730943681408585,0.05812999288554592,0.13156533287338976
152,0.0033672531357226304,0.01746076425394452,0.05802803749673627,0.13213918515695683
153,0.0034940217149501645,0.017320472399026128,0.05911025050657597,0.13160726575317233
154,0.0034849924086201092,0.01720320439581293,0.059033824275749824,0.13116098656160272
155,0.0033932896972798453,0.017335471113890437,0.05825195015859851,0.13166423627504334
156,0.0033621128177258233,0.018013444711057043,0.05798372890497664,0.1342141747769476
157,0.0034791064318562413,0.017706681204878765,0.05898395062944022,0.13306645409297854
158,0.003343201053495089,0.017823421629791895,0.05782042073087232,0.13350438805444523
159,0.0032664635300526015,0.01730626010982997,0.05715298356212562,0.13155325959408976
160,0.003237646360856642,0.017509587088411986,0.056900319514539124,0.13232379637998595
161,0.003298094577546284,0.01732350661178963,0.05742903949698518,0.13161879277591643
162,0.003228861516363967,0.017297701370815346,0.05682307204264802,0.13152072601234888
163,0.0032502308860076564,0.017409891992890097,0.05701079622323877,0.13194654975743056
164,0.003391608797447975,0.017566877159666507,0.058237520529706405,0.13254009642242798
165,0.0033361928864441654,0.01734695366474349,0.05775978606646812,0.1317078344850582
166,0.003268860647098181,0.017427280641726935,0.0571739507739161,0.13201242608833055
167,0.0032551969232676925,0.01736292237490002,0.057054333080561834,0.13176844225724163
168,0.003256234160739029,0.017582878842605253,0.05706342226627342,0.13260044812369698
169,0.003214199944579359,0.01742538993111592,0.05669391452862784,0.1320052647855983
170,0.0032642337568552266,0.01751756866589175,0.05713347317339658,0.13235395221107585
171,0.003212225435828923,0.017670733166667292,0.056676498090733544,0.13293130995618485
172,0.003208958470606341,0.017485218382785984,0.05664766959554771,0.1322316844889529
173,0.003213011384851176,0.017496130719546584,0.05668343130802136,0.13227294023928923
174,0.0031164592346495275,0.017275240427360394,0.05582525624347395,0.13143530890655067
175,0.0031941554058518926,0.01750978393261351,0.05651685948327183,0.13232454017533374
176,0.003173042298531527,0.01735284965860965,0.056329763877825074,0.13173021543522068
177,0.003176420997263076,0.017416891789237842,0.05635974624910119,0.1319730722126216
178,0.0031933780857788313,0.017281368112916973,0.0565099821781854,0.13145861749203425
179,0.003040095499590053,0.01751539246226548,0.05513706103511551,0.13234573080483358
180,0.003163931835752935,0.017382384490680077,0.05624883852803483,0.13184227125880407
181,0.0031700423144572563,0.017220866613979147,0.05630312881587715,0.1312282995926532
182,0.0031879021343322786,0.01716233911225357,0.05646151020236953,0.1310051110157675
183,0.0031094654201754782,0.01767192888491469,0.05576258082420037,0.13293580738429617
184,0.00318810758615993,0.017181861549478015,0.05646332957026118,0.13107960005080124
185,0.003111649898228052,0.016971682545545475,0.05578216469650539,0.13027541036414153
186,0.00302467965581226,0.017478058106032486,0.054997087703007146,0.1322046069773383
187,0.0030365985444299774,0.017215064920615974,0.05510534043475258,0.13120619238670092
188,0.0030351991715231886,0.017158755720709344,0.05509264171850165,0.13099143376843136
189,0.003029574157203187,0.01694879203235298,0.05504156753948044,0.13018752640845813
190,0.002983322978333314,0.01739665759756651,0.054619803902369646,0.13189638963052214
191,0.0030479713374960762,0.017395347287873224,0.05520843538351795,0.13189142234380985
192,0.003024712626656016,0.017040397575561035,0.05499738745300558,0.13053887380991547
193,0.002988952598220063,0.017228720614912332,0.05467131421705594,0.13125822113266786
194,0.0030253998216699936,0.016935058675575432,0.055003634622359215,0.13013477120114914
195,0.0029878143925877987,0.017095637213952224,0.05466090369347912,0.13075028571269826
196,0.0029688408254980904,0.017014958770819884,0.05448707025981568,0.13044139975797517
197,0.003007024299150038,0.017046320504551127,0.054836341044512064,0.1305615582955072
198,0.002910074769501177,0.016969592881687916,0.05394510885614355,0.1302673899396465
199,0.00297040757606845,0.017185320783058435,0.05450144563283115,0.13109279455049555
200,0.00292466195006437,0.017502056267612184,0.05408014376889516,0.1322953372859837
201,0.002890795315068756,0.016949980265558263,0.053766116793653194,0.13019208987322642
202,0.0029290663087042693,0.01730457476230819,0.054120849112927534,0.13154685386700887
203,0.002934118819825358,0.017095126687212192,0.05416750704827903,0.1307483334012797
204,0.0029228937971103285,0.017483940976951873,0.054063793772822936,0.13222685422013136
205,0.0029028117853569196,0.0172868376799362,0.05387774851788927,0.13147941922573358
206,0.0029172960340987054,0.017381204266332013,0.0540119989826215,0.1318377952877399
207,0.002861512735723815,0.017301945169141842,0.05349310923589892,0.13153685859538322
208,0.002905154593201022,0.017226296012650806,0.05389948601982232,0.13124898480617214
209,0.0029092684838745077,0.017048789479465642,0.053937635134240984,0.13057101316703354
210,0.0029086412381205042,0.01732194510518567,0.05393182027449569,0.1316128607134792
211,0.0028925665053750054,0.017120118567394395,0.05378258552147717,0.130843870958461
212,0.0028631507942864843,0.017261479652997635,0.05350841797592678,0.1313829503893014
213,0.002903632456514292,0.017212912729776753,0.053885364028781434,0.13119799057065148
214,0.002845717135904689,0.01739127728588376,0.05334526348144406,0.13187599207544853
215,0.0028481865254343657,0.01711845651586005,0.05336840381194069,0.13083751952654885
216,0.002864203968487687,0.017268276705331653,0.053518258272179285,0.1314088151736087
217,0.002837402544481461,0.01762355036971527,0.053267274610979125,0.13275372073774533
218,0.0028237578343637943,0.017135545983565946,0.05313904246750965,0.13090281121338054
219,0.0027967603202171754,0.01718401590450068,0.052884405264852656,0.13108781752894005
220,0.002814204934993061,0.017174497742988133,0.05304908043494309,0.1310515079767804
221,0.0027994585960541716,0.0171703338126801,0.052909910187545886,0.13103562039644068
222,0.0028526278675312417,0.017107425755532552,0.05340999782373373,0.13079535831034889
223,0.0027274310900713425,0.017277699615203264,0.05222481297306236,0.13144466369998922
224,0.0027804535276891454,0.017173352310990538,0.05273000595191646,0.13104713774436486
225,0.0026988991502600065,0.017317391594287756,0.05195093021554096,0.1315955606936942
226,0.0028322608887315294,0.017421930173720394,0.05321898992588575,0.1319921595160879
227,0.002767193834809974,0.01736413073363291,0.052604123743390824,0.1317730273372852
228,0.002802886421620763,0.01731638238178592,0.052942293316598624,0.1315917261144709
229,0.002710061815285592,0.01733964287385579,0.05205825405529455,0.131680077740924
230,0.0027516589098964075,0.017098616908591286,0.05245625710910384,0.13076167981710576
231,0.002714233477681765,0.01745182898836374,0.0520983059003051,0.1321053707778898
232,0.0027484324442827515,0.0172068074579927,0.0524254942206819,0.13117472110888095
233,0.0026725915583258944,0.017238961475850474,0.05169711363631334,0.13129722569746274
234,0.0026461632410107417,0.01706571515845988,0.051440871308821565,0.13063581116393727
235,0.0026894903465654015,0.017136729254312366,0.05186029643730743,0.13090733078904468
236,0.0026821984332675163,0.01713014962659954,0.05178994529121957,0.13088219751593239
237,0.0026407320759708024,0.016931002926870588,0.05138805382548363,0.1301191873893723
238,0.0026807306010438047,0.017230043537521892,0.051775772336526325,0.13126326042545908
239,0.002770252358021902,0.017044731359808232,0.052633186850331436,0.1305554723472296
240,0.00263401601876233,0.017210460709930018,0.051322665740999175,0.13118864550688072
241,0.0026640744501195855,0.01712106208245474,0.05161467281810072,0.13084747640843036
242,0.002656733772048001,0.01707897148509471,0.05154351338478976,0.13068653903556673
243,0.0025898249148736665,0.016981291878455002,0.050890322408820195,0.1303122859843039
244,0.002663019583857757,0.017279346076346017,0.051604453139799444,0.1314509264948179
245,0.0026474421043517576,0.017209935860982326,0.05145330022799079,0.13118664513197342
246,0.0026433483284366535,0.01713653846155373,0.051413503366690094,0.13090660205487625
247,0.0027175053551786207,0.017245842655646812,0.052129697439929776,0.13132342767247135
248,0.002720621615436331,0.01718739950193728,0.05215957836712574,0.13110072273613627
249,0.0026237538662049007,0.01718810469491078,0.05122259136557717,0.13110341221688618
250,0.002554223217306164,0.016960726676992968,0.05053932347495526,0.1302333547022151
251,0.0025807004490872427,0.017518852812399146,0.05080059496784701,0.13235880330525487
252,0.0026670917618768176,0.017200288110370443,0.05164389375208668,0.13114986889193006
253,0.002646345829558417,0.017114510230726937,0.05144264602018851,0.13082243779538333
254,0.002707806059179154,0.017106661178468003,0.05203658385385376,0.1307924354787692
255,0.002583875432636358,0.01685359368271347,0.05083183483444561,0.12982139146809923
256,0.0025859118945841487,0.017317603008819883,0.05085186225286296,0.1315963639650423
257,0.002577710322084579,0.01706106678189005,0.050771156398929686,0.13061801859578964
258,0.002507353380493041,0.017177834941434374,0.05007347981210254,0.13106423975072062
259,0.0025736896644685,0.017199166387898517,0.05073154506289455,0.1311455923311894
260,0.0025193809359752256,0.017011696684702364,0.05019343518803256,0.13042889512950098
261,0.002539312761625022,0.01738849225747817,0.05039159415641682,0.13186543238270662
262,0.002517688998549308,0.01714553450347096,0.05017657818693208,0.13094095808214845
263,0.002462813325500276,0.017211352587848984,0.04962674002491274,0.13119204468201945
264,0.002580011924289367,0.01705562802346959,0.050793817776274376,0.13059719760955665
265,0.0025958622154020716,0.017271412648501825,0.05094960466384476,0.13142074664413464
266,0.002536951257329465,0.017108423857640383,0.05036815717623055,0.1307991737651289
267,0.0024814237995550493,0.017325186266268326,0.049813891632305235,0.1316251733760238
268,0.002556122774189333,0.017064599694199965,0.05055811284244432,0.13063154172786895
269,0.002520557633832883,0.017117289000920518,0.05020515545073915,0.13083305775269688
270,0.0025094962275219145,0.01703027534495891,0.05009487226774727,0.13050009710708613
271,0.002475802491356125,0.017148541436495326,0.049757436543255776,0.13095243959734132
272,0.002494949346475448,0.017015279648923742,0.049949467929853344,0.13044262972250958
273,0.0024228817453757824,0.017089510727656538,0.049222776693069466,0.1307268554186803
274,0.0024624876619836144,0.017076000350697187,0.04962345878698516,0.13067517113322327
275,0.002544529768995851,0.01679928428480517,0.050443332255074615,0.1296120530074467
276,0.002454640724369696,0.01712910581473175,0.04954433090041378,0.13087820985455045
277,0.0024911613161800556,0.016899374254206394,0.04991153490106326,0.12999759326313082
278,0.0024546173428746146,0.017036254115395805,0.04954409493445828,0.1305230022463313
279,0.002486418286738202,0.017273582387146963,0.049863997901674534,0.13142900131685914
280,0.0024903548287381104,0.017502594873598613,0.049903455078161775,0.13229737289001098
281,0.002440290960632299,0.017036802729007604,0.049399301216032386,0.13052510382684093
282,0.0024578345725855596,0.01703215353914591,0.04957655264926717,0.13050729304964498
283,0.0024206381451397116,0.016814160123674215,0.049199981149790205,0.12966942632584683
284,0.002483453761414038,0.016989867737952698,0.04983426292636461,0.13034518686147448
285,0.0023933860852842275,0.017022741656960657,0.04892224530092857,0.1304712292306647
286,0.0024636091994402532,0.01708186087676709,0.04963475797704924,0.1306975932324964
287,0.002436819225920159,0.016952993125964048,0.049364149196761804,0.13020366018650953
288,0.0023572874383847543,0.017065246978035468,0.04855190458040502,0.13063401922177648
289,0.0024901241351394576,0.017184528512716513,0.04990114362556691,0.13108977272356723
290,0.0024905548942302054,0.01701618065225317,0.049905459563360455,0.13044608331511212
291,0.0023824201830448264,0.016891595916986246,0.04881004182588688,0.1299676725843248
292,0.0023040174533312347,0.016799268914967306,0.04800018180518939,0.12961199371573337
293,0.0023841872360302304,0.017083628504613722,0.04882813979694732,0.1307043553391153
294,0.0023822669348197885,0.017054176642098545,0.04880847195743571,0.1305916407818607
295,0.002341990767065763,0.016891075286128585,0.04839411913720264,0.12996566964444337
296,0.0023797958887679283,0.016991668366150764,0.0487831516895734,0.13035209383109564
297,0.002390210583735392,0.016979588624727496,0.04888977995179966,0.1303057505435869
298,0.002334932043672876,0.016864390518244055,0.048321134544553855,0.1298629682328417
299,0.002362089857302268,0.017237142114370208,0.048601335962113926,0.13129029710671772
